itemId,title,price,condition,itemDescription
v1|110555252651|410109489144,Designer Belt Casual Dress Belt Silver Buckle Large Size S-9XL Wide 37mm,"['12.99', 'USD']",New with tags,"Designer Belt Casual Dress Belt Silver Buckle Large Size S-9XL Wide 37mm 【Brand】： JINGHAO 【Production Place】 CHINA 【Quality】 First Grade 【true and false】 Genuine, authentic 【Material】 Cowhide leather 【Colors】 Black / Coffee / Brown 【Type】 Pin Buckle Belt for Jeans 【Width】 1.5"" / 3.8(cm) 【Heavy】 0.25kg (With packing) 【Waist】 30""-63"" (see size table ) Inch. 【Length】 100cm-160cm (see size table )cm -_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_- Payment Delivery details Terms of sales About us Contact us We only accept payment via paypal. Before payment, please check whether your shipping address is correct. Payment should be received within 2 days, all the unpaid item will be reported to ebay(as we need to get back the fees which I paid to ebay),"
v1|110555252650|410109489549,Designer Belt Casual Dress Belt Silver Buckle Large Size S-9XL Wide 37mm,"['12.99', 'USD']",New with tags,"Designer Belt Casual Dress Belt Silver Buckle Large Size S-9XL Wide 37mm 【Brand】： JINGHAO 【Production Place】 CHINA 【Quality】 First Grade 【true and false】 Genuine, authentic 【Material】 Cowhide leather 【Colors】 Black / Coffee / Brown 【Type】 Pin Buckle Belt for Jeans 【Width】 1.5"" / 3.8(cm) 【Heavy】 0.25kg (With packing) 【Waist】 30""-63"" (see size table ) Inch. 【Length】 100cm-160cm (see size table )cm -_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_-_- Payment Delivery details Terms of sales About us Contact us We only accept payment via paypal. Before payment, please check whether your shipping address is correct. Payment should be received within 2 days, all the unpaid item will be reported to ebay(as we need to get back the fees which I paid to ebay),"
v1|110555292996|0,7ft Billiards Table Pool Table Set Black Cloth for Family Game Room,"['567.80', 'USD']",New other (see details),"Weight-Bearing and Stability: Chosen for its MDF fiberboard, which is scratch-resistant, wear-resistant, moisture-proof, and anti-corrosive, ensuring durability. The billiard table's weight exceeds 240 pounds, with ultra-stable leg design, providing you with championship-quality billiard gameplay. Professional Playing Feel: The pool table features a thickened felt cloth that resists pilling and friction, allowing for smooth ball movement. Metal corners designed to prevent collisions, ensuring safer play. Exquisite pocket design prevents balls from flying out and cushions the impact of balls entering, offering a professional playing experience. Complete Accessories: Comes with a full set of billiard accessories. Order now to receive American-style pool balls: 1 box, 1 plastic triangle, 1 plastic brush, 2 cue sticks, 4 black leveling shims and 2 chalks. Easy to Assemble: No need to worry about complicated assembly. The billiard table set is pre-assembled when you receive it; you only need to attach the legs to start enjoying. Clear assembly step instructions will also be provided. Suitable for Multiple Scenarios: The game room pool table is designed in a modern rustic style, easily beautifying your home space while offering both aesthetic appeal and entertainment functionality, giving you a championship-level quality experience. Suitable for home/club/lounge/villa/company entertainment. Do not place the billiard table in direct sunlight, rain, or damp conditions. It is recommended to cover it with a dust and rain protective cover when not in use to extend its lifespan. Billiard table: Get a moment to relax & Let go of your worries Looking for a competition-level billiard table? Our billiards table is just what you need. With a table weight exceeding 240 pounds, ultra-stable leg design, exquisite metal corners and pocket design, and flawless thick felt, you can play confidently without fear! Our billiard tables are made of thickened MDF fiberboard. Quality begins with the raw materials, giving you peace of mind. Our pool table set come with a full set of accessories, so you don't have to worry about purchasing additional sets. Upon receiving the billiard table, you'll find the tabletop pre-installed, simply attach the legs to start playing immediately. General advice: Please do not place it in direct sunlight, rain, or humid areas. When not in use, it is recommended to cover it with a dust and rain protective cover. A good billiard table significantly enhances the playing experience. Suitable for home/club/lounge/villa/company recreational use, our tables are made with genuine materials and offer a smooth playing experience, letting you enjoy the quality of a competition-level billiard table. Specification Item Model Number VP22 Color Black + Wood Color Net Weight 222.7 lbs / 101 kg ± 5% Product Dimensions 84.0x47.8x31.7 ±0.4inch / 2134x1215x805 mm ±10 mm"
v1|110555293002|0,7ft Billiards Table Pool Table Set Black Cloth for Family Game Room,"['567.80', 'USD']",New other (see details),"Weight-Bearing and Stability: Chosen for its MDF fiberboard, which is scratch-resistant, wear-resistant, moisture-proof, and anti-corrosive, ensuring durability. The billiard table's weight exceeds 240 pounds, with ultra-stable leg design, providing you with championship-quality billiard gameplay. Professional Playing Feel: The pool table features a thickened felt cloth that resists pilling and friction, allowing for smooth ball movement. Metal corners designed to prevent collisions, ensuring safer play. Exquisite pocket design prevents balls from flying out and cushions the impact of balls entering, offering a professional playing experience. Complete Accessories: Comes with a full set of billiard accessories. Order now to receive American-style pool balls: 1 box, 1 plastic triangle, 1 plastic brush, 2 cue sticks, 4 black leveling shims and 2 chalks. Easy to Assemble: No need to worry about complicated assembly. The billiard table set is pre-assembled when you receive it; you only need to attach the legs to start enjoying. Clear assembly step instructions will also be provided. Suitable for Multiple Scenarios: The game room pool table is designed in a modern rustic style, easily beautifying your home space while offering both aesthetic appeal and entertainment functionality, giving you a championship-level quality experience. Suitable for home/club/lounge/villa/company entertainment. Do not place the billiard table in direct sunlight, rain, or damp conditions. It is recommended to cover it with a dust and rain protective cover when not in use to extend its lifespan. Billiard table: Get a moment to relax & Let go of your worries Looking for a competition-level billiard table? Our billiards table is just what you need. With a table weight exceeding 240 pounds, ultra-stable leg design, exquisite metal corners and pocket design, and flawless thick felt, you can play confidently without fear! Our billiard tables are made of thickened MDF fiberboard. Quality begins with the raw materials, giving you peace of mind. Our pool table set come with a full set of accessories, so you don't have to worry about purchasing additional sets. Upon receiving the billiard table, you'll find the tabletop pre-installed, simply attach the legs to start playing immediately. General advice: Please do not place it in direct sunlight, rain, or humid areas. When not in use, it is recommended to cover it with a dust and rain protective cover. A good billiard table significantly enhances the playing experience. Suitable for home/club/lounge/villa/company recreational use, our tables are made with genuine materials and offer a smooth playing experience, letting you enjoy the quality of a competition-level billiard table. Specification Item Model Number VP22 Color Black + Wood Color Net Weight 222.7 lbs / 101 kg ± 5% Product Dimensions 84.0x47.8x31.7 ±0.4inch / 2134x1215x805 mm ±10 mm"
v1|110555342546|0,"LENOVO 82V6007ECF IdeaPad 1 14IGL7 14"" HD Celeron N4020 1.1GHz Intel UHD","['190.00', 'USD']",New,"LENOVO 82V6007ECF IdeaPad 1 14IGL7 14"" HD Celeron N4020 1.1GHz Intel UHD Graphics 600 4GB RAM 128GB SSD Win 11 Home Cloud Grey Lenovo, 82V6007ECF BRAND NEW Fully Functional BRAND NEW – Inventory is in “BRAND NEW” retail ready condition and in original packaging. UPC: 197532277830 Weight: 8.00 lbs Dimensions: 22.00 x 14.00 x 4.00 in 90-Day Warranty A 90-day Warranty is included for free with every product on VIPOUTLET. Yup, we are confident in our refurbishment. Product Description Product Details: Manufacturer: LENOVO Series: IdeaPad 1 14IGL7 Model: 82V6007ECF Screen Size: 14"" Screen Resolution: HD Touchscreen: NO Processor: Celeron N4020 Speed: 1.1GHz Video Card: Integrated Intel UHD Graphics 600 Video Memory: Shared RAM: 4GB Solid State Drive: 128GB Operating System: Windows 11 Home Optical Drive: NO Bluetooth: YES Webcam: YES Fingerprint Reader: NO Backlit Keyboard: NO Color: Cloud Grey 90-Day Warranty Free Shipping Both Ways 65 Point Inspection All our devices undergo a rigorous 65-point physical and technical examination to ensure that we can deliver the highest quality to our customers. 25+ Years experience As an industry leader in product sourcing and reconditioning, we are expert in providing the best and finest quality products. US Seller/US Sourced All our products are sourced from the USA. 100% Functional We grade over 10 million devices each month and only the ones that pass our rigorous quality control with a score of 100% approval are released for the retail market. Why Choose Us? Payment Policy Shipping Policy Warranty Return Policy FAQ Why Choose Us? VIPOUTLET was established to provide consumers the opportunity to benefit from amazing deals on: new, over-stocked, open-box, and refurbished products from the nations largest retailers and manufacturers. Retailers and manufacturers provide products directly to VIPOUTLET to leverage our extensive remarketing channels. Sealed product is instantly made available to you for immediate purchase. If products arrive as open box VIPOUTLET refurbishes products to ensure they function according to the original manufacture's specifications. VIPOUTLET is North America's largest refurbisher of Retailers/Manufactures product backing our work with a 90-day warranty to ensure a great user experience. Every single item we sell goes through thorough inspection processes to make sure it works perfectly. Payment Policy For your safety and convenience, we process all payments through PayPal where all major Credit Cards are accepted (Amex, Visa, MasterCard, Discover, etc.). We unfortunately cannot accept payments from accounts located outside of the US and Canada. For ""Buy It Now"" listings, your PayPal payment is due at the time of checkout. For auction style listings, your PayPal payment is due within 48 hours after the end of the auction. Shipping Policy Ground Shipping is always Free within the US (48 contiguous states)! Your order will be processed by one of our 6 fulfillment warehouses as soon as we receive it. We do our best to ship it out within 24-48 business hours of receiving your order and provide tracking numbers on all orders. Please note that we can only ship to addresses verified with PayPal or your credit card. We may contact you for additional verification if needed. We cannot ship to APO or FPO addresses, and orders to Puerto Rico, Hawaii, and Alaska will incur additional shipping charges. All order over $100 will require an adult signature. Warranty 90-Day Warranty on all our products. We proudly stand behind the quality of our products. If the device you purchased is found to be defective or experience a problem, we will be happy to provide a replacement if available upon the item's return within 90 days of your receiving delivery. If you need to return a defective device, please contact us through eBay messaging before shipping the return so we may initiate the RMA. Once the item has been received and verified, a replacement will be sent out free of charge. Should the same model no longer be available we will either offer a replacement of similar or better value or full refund. Our warranty policy is void if you attempt to modify, open, unlock, root, or change the operating system of the device, and does not cover damages caused by buyer neglect or abuse. Return Policy Hassle Free Returns! All our products come with a 30-Day Free Return Policy. If you would like to return your item and you are within 30 days of the purchase, and it is still in its original condition, you can request a return label and return the item by contacting us through eBay messaging. We offer Free Returns and will provide you with a prepaid return label. Once the item has been received and verified, a refund of the purchase price and any taxes paid will be issued through PayPal. Our return policy is void if you attempt to modify, open, unlock, root, or change the operating system of the device. FAQ Nature of our Products: We sell brand new and refurbished products of a large variety - from “brand new” in original box to “like new” or “Refurbished” in an original or non-original box. The condition of the item you are purchasing will clearly be marked on the listing page. Does my product come with warranty? 90-Day Warranty on all our products. We proudly stand behind the quality of our products. If the device you purchased is found to be defective or experience a problem, we will be happy to provide a replacement if available upon the item's return within 90 days of your receiving delivery. If you need to return a defective device, please contact us through eBay messaging before shipping the return so we may initiate the RMA. Once the item has been received and verified, a replacement will be sent out free of charge. Should the same model no longer be available we will either offer a replacement of similar or better value or full refund. Our warranty policy is void if you attempt to modify, open, unlock, root, or change the operating system of the device, and does not cover damages caused by buyer neglect or abuse. Can I return my purchase? Hassle Free Returns! All our products come with a 30-Day Free Return Policy. If you would like to return your item and you are within 30 days of the purchase, and it is still in its original condition, you can request a return label and return the item by contacting us through eBay messaging. We offer Free Returns and will provide you with a prepaid return label. Once the item has been received and verified, a refund of the purchase price and any taxes paid will be issued through PayPal. Our return policy is void if you attempt to modify, open, unlock, root, or change the operating system of the device. I received my item but it's missing something...what now? This means we messed up a little and we promise to make it right. Please contact us through eBay messaging so we can send you the missing item/accessory right away. I received the wrong item...what now? This means we really messed up and we promise to make it right. Please contact us through eBay messaging so we can get the right item sent to you right away. How long does it take to process my return/refund? Once you receive your prepaid return label, you will need to ship the item back to us. Upon receiving the item back at one of our facilities and checking it in for review, we will process your refund within 48 business hours. Please note that the time it takes for the funds to appear on your original form of payment is solely due to that specific financial institution or credit card. Typical industry times are 3-5 business days. Feedback Policy We understand that sometimes there are situations where you may not be satisfied with your order/product or its fulfillment. However, we are here to assist you and resolve any issues that arise, so please give us a chance to do so prior to potentially posting any negative feedback. We are sure that we can provide a solution that makes you happy. Can I change the shipping address after I placed my order? Unfortunately, once you have completed checkout we are unable to make changes to your order. Visit Our Store For Best Deals VipOutlet Store 90-Day Warranty A 90-day Warranty is included for free with every product on VIPOUTLET. Yup, we are confident in our refurbishment. Free Shipping Both Ways Fast & Free Shipping on all orders. Not completely satisfied? No problem! Send it back for free within 30 Days. We've got it all covered. Satisfaction Guaranteed Real support from the refurb Experts comes standard with every purchase. No extra charges. No Upsells. 100% Free. Newsletter signup"
v1|110555346136|0,Apple MacBook Pro MB990LL/A 13.3 in. Notebook NEW,"['500.00', 'USD']",New,Brand New Apple MacBook Pro MB990LL/A 13.3 in. Notebook!
v1|110555284260|0,"ESR Portable Kickstand Monitor for Laptops, Ultra-Slim 15.6 Inch 1080p","['150.00', 'USD']",New,"Clearly Colorful: see the full picture in glorious detail via 1080P Full HD and HDR10, all at an ultra-smooth 60 FPS Edge-to-Edge Glass: get immersed in every scene on the super-narrow-bezel premium glass screen Slim and Portable: sleek design lets you enjoy the convenience of a secondary screen anytime, anywhere Stand Your Way: fully adjustable kickstand with a full 180° range of motion enables the perfect view in landscape or portrait Plug More, Play More: choose from a whole range of different devices for instant display, including PCs, Mac, MacBook, tablets, Android phones, Xbox, PS5/4, Switch, and more"
v1|110555295029|0,Chairvariations item with images,"['500.00', 'USD']",New,plastic Chair
v1|110555292721|410109504285,Wok Panvariations item with images,"['7.00', 'USD']",New,test
v1|110555284271|410109503231,product test 6,"['27.00', 'USD']",New,asdasd
v1|110555284286|410109504213,Nostrud unde minim n,"['17.99', 'USD']",New,asdas
v1|110555284269|410109502096,product test 5,"['369.00', 'USD']",New,asd
v1|110555284261|410109504091,denim,"['455.00', 'USD']",New,asdas
v1|110555295004|0,OTC Testing Item,"['321.00', 'USD']",New,Brand New Apple MacBook Pro MB990LL/A 13.3 in. Notebook!
v1|110555292699|410109504416,Wok Pan,"['2.00', 'USD']",New,test
v1|110555294680|0,Thsi is tthe hot item,"['501.00', 'USD']",New,Buy this thing now!!
v1|110555293210|0,otc test item,"['500.00', 'USD']",New,Brand New Apple MacBook Pro MB990LL/A 13.3 in. Notebook!
v1|110555284282|410109502097,Doloribus oasdp,"['49.00', 'USD']",New,asd
